Model Name,Wins ⭐,Losses ❌
<<<<<<< HEAD
mixtral-8x7b-instruct-v0.1,0,0
llama-2-70b-chat,0,0
=======
mixtral-8x7b-instruct-v0.1,1,1
llama-2-70b-chat,0,1
llama-2-7b-chat,1,0
>>>>>>> deploy
gpt-4-turbo,0,0
mistral-large,0,0
gemma-2b-it,0,0
mistral-7b-instruct-v0.1,0,0
gemma-7b-it,0,0
llama-2-13b-chat,0,0
codellama-13b-instruct,0,0
yi-34b-chat,0,0
gpt-3.5-turbo,0,0
deepseek-coder-33b-instruct,0,0
llama-3-70b-chat,0,0
mistral-medium,0,0
mixtral-8x22b-instruct-v0.1,0,0
other,0,0
codellama-34b-instruct,0,0
llama-3-8b-chat,0,0
pplx-7b-chat,0,0
mistral-7b-instruct-v0.2,0,0
mistral-small,0,0
gpt-4,0,0
pplx-70b-chat,0,0
codellama-7b-instruct,0,0
