,models
0,mixtral-8x7b-instruct-v0.1@together-ai
1,mixtral-8x7b-instruct-v0.1@octoai
2,mixtral-8x7b-instruct-v0.1@replicate
3,mixtral-8x7b-instruct-v0.1@mistral-ai
4,mixtral-8x7b-instruct-v0.1@perplexity-ai
5,mixtral-8x7b-instruct-v0.1@anyscale
6,mixtral-8x7b-instruct-v0.1@fireworks-ai
7,mixtral-8x7b-instruct-v0.1@lepton-ai
8,mixtral-8x7b-instruct-v0.1@deepinfra
9,mixtral-8x7b-instruct-v0.1@aws-bedrock
10,llama-2-70b-chat@aws-bedrock
11,llama-2-70b-chat@together-ai
12,llama-2-70b-chat@octoai
13,llama-2-70b-chat@replicate
14,llama-2-70b-chat@perplexity-ai
15,llama-2-70b-chat@anyscale
16,llama-2-70b-chat@fireworks-ai
17,llama-2-70b-chat@lepton-ai
18,llama-2-70b-chat@deepinfra
19,llama-2-13b-chat@aws-bedrock
20,llama-2-13b-chat@together-ai
21,llama-2-13b-chat@octoai
22,llama-2-13b-chat@replicate
23,llama-2-13b-chat@anyscale
24,llama-2-13b-chat@fireworks-ai
25,llama-2-13b-chat@lepton-ai
26,llama-2-13b-chat@deepinfra
27,gemma-7b-it@anyscale
28,gemma-7b-it@together-ai
29,gemma-7b-it@fireworks-ai
30,gemma-7b-it@lepton-ai
31,gemma-7b-it@deepinfra
32,llama-3-8b-chat@together-ai
33,llama-3-8b-chat@fireworks-ai
34,llama-2-7b-chat@anyscale
35,llama-2-7b-chat@together-ai
36,llama-2-7b-chat@replicate
37,llama-2-7b-chat@fireworks-ai
38,llama-2-7b-chat@lepton-ai
39,llama-2-7b-chat@deepinfra
40,mistral-7b-instruct-v0.2@perplexity-ai
41,mistral-7b-instruct-v0.2@together-ai
42,mistral-7b-instruct-v0.2@mistral-ai
43,mistral-7b-instruct-v0.2@replicate
44,mistral-7b-instruct-v0.2@aws-bedrock
45,mistral-7b-instruct-v0.2@octoai
46,mistral-7b-instruct-v0.2@fireworks-ai
47,codellama-34b-instruct@anyscale
48,codellama-34b-instruct@perplexity-ai
49,codellama-34b-instruct@together-ai
50,codellama-34b-instruct@octoai
51,codellama-34b-instruct@fireworks-ai
52,codellama-34b-instruct@deepinfra
53,mistral-7b-instruct-v0.1@anyscale
54,mistral-7b-instruct-v0.1@together-ai
55,mistral-7b-instruct-v0.1@fireworks-ai
56,mistral-7b-instruct-v0.1@deepinfra
57,mixtral-8x22b-instruct-v0.1@mistral-ai
58,mixtral-8x22b-instruct-v0.1@together-ai
59,mixtral-8x22b-instruct-v0.1@fireworks-ai
60,mixtral-8x22b-instruct-v0.1@deepinfra
61,codellama-13b-instruct@together-ai
62,codellama-13b-instruct@octoai
63,codellama-13b-instruct@firewz7b-instruct@together-ai
64,codellama-7b-instruct@octoai
65,yi-34b-chat@together-ai
66,yi-34b-chat@deepinfra
67,llama-3-70b-chat@together-ai
68,llama-3-70b-chat@fireworks-ai
69,pplx-7b-chat@perplexity-ai
70,mistral-medium@mistral-ai
71,gpt-4@openai
72,pplx-70b-chat@perplexity-ai
73,gpt-3.5-turbo@openai
74,deepseek-coder-33b-instruct@together-ai
75,gemma-2b-it@together-ai
76,gpt-4-turbo@openai
77,mistral-small@mistral-ai
78,mistral-large@mistral-ai
79,other
